shop_name,goods_name,loc,prices,sum_body
dior迪奥官方旗舰店,【官方正品】Dior迪奥烈艳蓝金唇膏星光版668 999 新品,上海,385.0,3934.0
colorkey旗舰店,colorkey珂拉琪空气唇釉3支装哑光雾面丝绒口红持久平价学生唇彩,广东 ,179.0,1473.0
christianlouboutin美妆官方旗舰店,【官方正品】CL路铂廷复古持久丝绒女王权杖经典黑管cl萝卜丁,,880.0,621.0
lancome兰蔻官方旗舰店,【新品】兰蔻菁纯柔雾染唇液 雾面唇釉唇膏口红 196/274/888/288,江苏 ,300.0,6000.0
chanel香奈儿官方旗舰店,【官方正品】CHANEL香奈儿炫亮魅力丝绒唇膏狮子系列 58,浙江 ,360.0,
chanel香奈儿官方旗舰店,【官方正品】CHANEL 香奈儿可可小姐炫色唇膏 coco134 138,浙江 ,340.0,
lancome兰蔻官方旗舰店,兰蔻新菁纯柔雾哑光唇膏口红888小野莓 196胡萝卜,江苏 ,285.0,10000.0
天猫国际进口超市,【国内专柜】兰蔻505莹亮唇膏196/柔雾哑光888小野莓正品唇釉,浙江 ,269.0,2407.0
3ce官方旗舰店,【官方正品】3CE三熹玉水唇釉 雾面哑光口红nullset烂番茄唇泥ins,江苏 ,110.0,35000.0
花西子旗舰店,花西子花露玲珑陶瓷口红/雕花唇膏滋润不拔干雾面哑光303豆沙色,浙江 ,199.0,9500.0
perfectdiary旗舰店,完美日记天鹅绒唇釉莫奈红丝绒金丝绒口红女雾面哑光唇彩唇蜜持久,广东 ,59.9,150000.0
dior迪奥官方旗舰店,【官方正品】Dior迪奥烈艳蓝金唇膏星光版668 999 新品,上海,385.0,3934.0
perfectdiary旗舰店,完美日记小细跟口红皮箱礼盒INTO1-刘宇同款哑光唇膏持久显白,广东 ,659.0,3760.0
3ce官方旗舰店,【官方正品】3CE三熹玉柔雾哑光透明口红 限定雾面唇釉豆沙色,江苏 ,125.0,20000.0
天猫超市,Lancome/兰蔻菁纯丝绒雾面哑光唇膏196 胡萝卜色口红 非凡哑光,上海,325.0,2742.0
dior迪奥官方旗舰店,【官方正品】Dior迪奥魅惑釉唇膏 黑管漆光口红#740#847#744,上海,350.0,2607.0
花西子旗舰店,【同心礼】花西子同心锁口红/浮雕雕花哑光唇膏蜜女持久保湿滋润,浙江 ,219.0,25000.0
tomford汤姆福特旗舰店,【INTO1-米卡同款】TOM FORD璀璨琉金唇膏 TF 金箔唇膏,上海,450.0,7500.0
ysl圣罗兰美妆官方旗舰店,YSL圣罗兰柔光小粉条口红 哑光持久显色214琥珀南瓜棕202不脱色,江苏 ,350.0,3728.0
givenchy纪梵希官方旗舰店,【官方正品】纪梵希口红 小羊皮 红丝绒 半哑光唇膏 N37 306,上海,360.0,608.0
colorkey旗舰店,热巴Hello Kitty 同款colorkey珂拉琪空气唇釉6支装套装学生,广东 ,159.0,65000.0
卡姿兰官方旗舰店,[薇娅推荐]卡姿兰甜吻唇釉女镜面水光哑光口红唇彩奶茶色小众显白,广东 ,89.0,55000.0
天猫国际进口超市,Lancome/兰蔻LANCOME兰蔻 菁纯柔雾哑光唇膏金管196 888滋润,浙江 ,249.0,2070.0
givenchy纪梵希官方旗舰店,【直播专属】GIVENCHY纪梵希小羊皮口红半哑光妆效 333 334 306,上海,360.0,2364.0
colorkey旗舰店,colorkey珂拉琪Hello Kitty空气唇釉丝绒哑光镜面口红唇彩平价女,广东 ,79.0,200000.0
ysl圣罗兰美妆官方旗舰店,YSL圣罗兰限定口红2支礼盒 哑光新色1966小金条复古21,江苏 ,670.0,2021.0
卡姿兰官方旗舰店,卡姿兰口红雾吻唇膏哑光唇釉女小众大牌奶油萝卜色持久官方旗舰店,广东 ,99.0,35000.0
美宝莲旗舰店,美宝莲接吻棒superstay唇釉防水哑光口红 持久保湿不沾杯唇蜜唇彩,上海,109.0,50000.0
雅诗兰黛官方旗舰店,雅诗兰黛口红倾慕哑光唇膏 333干枫叶557焦糖烤栗 持久官方正品,上海,280.0,8500.0
雅诗兰黛官方旗舰店,雅诗兰黛口红倾慕唇膏 显色保湿滋润不掉色 420豆沙色 官方正品,上海,280.0,6000.0
阿玛尼美妆官方旗舰店,【正品】Armani/阿玛尼红黑管挚爱哑光唇膏口红皇后红番茄红405,江苏 ,350.0,2002.0
阿玛尼美妆官方旗舰店,【正品】Armani阿玛尼红管口红臻致丝绒哑光唇釉405/208/209,江苏 ,310.0,6000.0
tomford汤姆福特旗舰店,【官方正品】TOM FORD唇膏 TF口红大牌正品 TF16 黑管哑光唇膏,上海,450.0,10000.0
植村秀官方旗舰店,植村秀小黑方柔雾唇膏哑光豆沙色亚洲纯红春夏限定新色mbg954,江苏 ,260.0,5500.0
guerlain娇兰官方旗舰店,【官方正品】娇兰臻彩宝石唇膏镜面高定口红套装显色滋润豆沙色,上海,190.0,2351.0
